Disease,Treatment,Tablet Name,Dosage,Time Taken,Effect Time Duration,Which Age,Company,Purity,Side Effects,Price
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,300 mg,Before meals,24 hours,0-12,TrueMed Industries,96.6%,Stomach upset,₹499.48
Chronic Pain,Analgesic Therapy,Paracetamol,200 mg,Before meals,8 hours,65+,Sunrise Pharma,97.9%,Loss of appetite,₹537.64
Cough & Cold,Antitussive Therapy,Dextromethorphan,1000 mg,Thrice daily - After meals,2 hours,51-65,Silver Cross Pharma,95.5%,Fatigue,₹272.13
Hypertension,Beta Blocker Therapy,Losartan,150 mg,Every 8 hours,24 hours,65+,Silver Cross Pharma,95.3%,Loss of appetite,₹182.58
Arthritis,NSAID Therapy,Naproxen,150 mg,After meals,6 hours,36-50,Horizon Meds,96.7%,"Diarrhea, Blurred vision",₹738.57
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,25 mg,Thrice daily - After meals,10 hours,51-65,Vitacore Pharmaceuticals,96.1%,"Blurred vision, Dizziness",₹601.53
Osteoporosis,Supplementation,Calcium + Vitamin D3,200 mg,After meals,10 hours,19-35,MedLife Labs,97.8%,"Stomach upset, None reported, Mild rash",₹811.78
Hypertension,Beta Blocker Therapy,Amlodipine,50 mg,Once daily - Night,12 hours,36-50,Zenith Biocare,96.3%,"Headache, None reported",₹705.14
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,5 mg,Once weekly,8 hours,13-18,Sunrise Pharma,98.3%,"Headache, Diarrhea, None reported",₹52.20
Insomnia,Sedative Therapy,Doxylamine,200 mg,Once daily - Night,6 hours,0-12,Horizon Meds,99.8%,Stomach upset,₹557.74
High Cholesterol,Statin Therapy,Simvastatin,25 mg,Before meals,12 hours,19-35,Zenith Biocare,95.3%,Diarrhea,₹491.42
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,150 mg,Twice daily - Morning & Night,2 hours,36-50,Cygnus Life Sciences,95.9%,"None reported, Dizziness, Nausea",₹15.80
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,50 mg,Every 6 hours,24 hours,13-18,Horizon Meds,97.3%,Blurred vision,₹102.85
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,50 mg,Twice daily - Morning & Night,2 hours,65+,TrueMed Industries,98.9%,"Diarrhea, Blurred vision, Headache",₹155.77
Vitamin D Deficiency,Supplementation,Cholecalciferol,250 mg,After meals,4 hours,36-50,Zenith Biocare,95.5%,Fatigue,₹280.47
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,150 mg,Thrice daily - After meals,24 hours,19-35,TrueMed Industries,96.5%,"Constipation, Nausea, Dizziness",₹558.40
Osteoporosis,Bisphosphonate Therapy,Alendronate,500 mg,Once daily - Night,24 hours,19-35,Greenfield Biotech,97.0%,"Insomnia, Blurred vision, Dizziness",₹589.22
Vitamin D Deficiency,Supplementation,Cholecalciferol,300 mg,Thrice daily - After meals,8 hours,13-18,Cygnus Life Sciences,95.8%,"Constipation, Mild rash, Stomach upset",₹599.03
High Cholesterol,Statin Therapy,Atorvastatin,500 mg,Once weekly,4 hours,51-65,Cygnus Life Sciences,97.6%,"Drowsiness, Constipation",₹102.48
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,250 mg,Twice daily - Morning & Night,6 hours,19-35,Horizon Meds,97.2%,"Headache, Insomnia, Constipation",₹419.59
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,200 mg,Twice daily - Morning & Night,18 hours,36-50,PurePath Pharma,95.3%,"Diarrhea, Blurred vision",₹267.48
Common Cold,Symptomatic Relief,Paracetamol,1000 mg,Once daily - Morning,8 hours,51-65,MedLife Labs,95.2%,"Insomnia, Drowsiness",₹463.66
Fever,Antipyretic Therapy,Ibuprofen,2.5 mg,Before meals,18 hours,13-18,Greenfield Biotech,98.8%,"Diarrhea, Stomach upset, Mild rash",₹843.99
Depression,Antidepressant Therapy,Fluoxetine,150 mg,Once daily - Night,6 hours,65+,TrueMed Industries,95.6%,"Stomach upset, Loss of appetite, Dry mouth",₹620.86
Bacterial Infection,Antibiotic Therapy,Amoxicillin,50 mg,Every 6 hours,18 hours,51-65,Wellspring Rx,99.0%,Fatigue,₹299.47
Acidity / GERD,Antacid Therapy,Ranitidine,750 mg,Once daily - Night,2 hours,65+,Wellspring Rx,98.0%,Headache,₹181.52
Migraine,Triptan Therapy,Rizatriptan,300 mg,Once daily - Morning,8 hours,65+,Sunrise Pharma,97.0%,Loss of appetite,₹190.94
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,250 mg,Before meals,8 hours,65+,PurePath Pharma,96.6%,"Blurred vision, Diarrhea, Mild rash",₹207.47
Hypertension,Diuretic Therapy,Losartan,150 mg,Before meals,10 hours,0-12,Horizon Meds,99.6%,"Dry mouth, Diarrhea, Blurred vision",₹367.70
High Cholesterol,Statin Therapy,Rosuvastatin,500 mg,As needed (SOS),12 hours,65+,Wellspring Rx,97.0%,"Stomach upset, Dry mouth",₹643.22
High Cholesterol,Statin Therapy,Atorvastatin,50 mg,Twice daily - Morning & Night,24 hours,0-12,Horizon Meds,97.0%,"Loss of appetite, None reported",₹120.91
Bacterial Infection,Antibiotic Therapy,Azithromycin,100 mg,Once daily - Night,24 hours,19-35,MedLife Labs,97.6%,Nausea,₹234.04
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,25 mg,Once weekly,8 hours,36-50,Nova Health,99.3%,"Dizziness, Nausea",₹186.34
Asthma,Bronchodilator Therapy,Montelukast,750 mg,Every 6 hours,8 hours,65+,PurePath Pharma,98.4%,"Headache, Loss of appetite",₹278.80
Allergy,Antihistamine Therapy,Levocetirizine,250 mg,After meals,10 hours,19-35,TrueMed Industries,97.5%,"Fatigue, Drowsiness",₹683.97
Chronic Pain,Analgesic Therapy,Diclofenac,25 mg,After meals,12 hours,36-50,Sunrise Pharma,97.8%,Insomnia,₹130.87
Acidity / GERD,Proton Pump Inhibitor,Pantoprazole,10 mg,Thrice daily - After meals,12 hours,13-18,Wellspring Rx,97.8%,Fatigue,₹471.64
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,750 mg,Every 6 hours,24 hours,36-50,Greenfield Biotech,98.6%,"Dry mouth, None reported",₹614.50
High Cholesterol,Statin Therapy,Simvastatin,500 mg,Once daily - Morning,2 hours,0-12,Zenith Biocare,95.2%,Stomach upset,₹123.77
Vitamin D Deficiency,Supplementation,Cholecalciferol,650 mg,Twice daily - Morning & Night,2 hours,13-18,Horizon Meds,97.2%,Constipation,₹544.97
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,200 mg,Once daily - Morning,2 hours,51-65,Horizon Meds,97.0%,Loss of appetite,₹616.09
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,250 mg,As needed (SOS),6 hours,0-12,MedLife Labs,97.6%,Headache,₹529.86
Acidity / GERD,Proton Pump Inhibitor,Pantoprazole,750 mg,As needed (SOS),4 hours,19-35,Wellspring Rx,97.2%,Insomnia,₹198.17
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,5 mg,As needed (SOS),18 hours,36-50,Horizon Meds,97.3%,"Nausea, Insomnia, Dry mouth",₹77.62
Insomnia,Sedative Therapy,Doxylamine,1000 mg,Once daily - Night,2 hours,13-18,Nova Health,99.4%,"Constipation, Fatigue, Dizziness",₹47.21
Headache,Analgesic Therapy,Naproxen,300 mg,Once daily - Morning,6 hours,19-35,Sunrise Pharma,99.7%,"Dry mouth, Blurred vision, Insomnia",₹699.20
Headache,Analgesic Therapy,Paracetamol,300 mg,Thrice daily - After meals,18 hours,65+,Horizon Meds,96.6%,"Dry mouth, Blurred vision, Insomnia",₹617.75
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,5 mg,As needed (SOS),8 hours,0-12,TrueMed Industries,98.0%,"Constipation, Stomach upset, Mild rash",₹32.94
Acidity / GERD,Proton Pump Inhibitor,Pantoprazole,25 mg,After meals,18 hours,36-50,Greenfield Biotech,98.3%,"Stomach upset, Drowsiness, Constipation",₹256.71
Bacterial Infection,Antibiotic Therapy,Amoxicillin,50 mg,Twice daily - Morning & Night,18 hours,65+,Zenith Biocare,95.8%,"Mild rash, None reported",₹97.72
Common Cold,Symptomatic Relief,Phenylephrine Combo,100 mg,Before meals,4 hours,13-18,MedLife Labs,95.9%,"Loss of appetite, None reported",₹439.48
Migraine,Triptan Therapy,Sumatriptan,100 mg,Every 8 hours,4 hours,51-65,PurePath Pharma,98.8%,"Nausea, Dizziness",₹356.43
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,300 mg,Every 8 hours,6 hours,65+,Wellspring Rx,95.8%,"Dizziness, None reported",₹423.21
Headache,Analgesic Therapy,Ibuprofen,50 mg,As needed (SOS),10 hours,36-50,MedLife Labs,96.8%,Insomnia,₹534.28
Cough & Cold,Antitussive Therapy,Ambroxol,5 mg,Twice daily - Morning & Night,10 hours,0-12,Wellspring Rx,96.6%,"Stomach upset, Blurred vision, Mild rash",₹378.67
Insomnia,Sedative Therapy,Melatonin,100 mg,Once weekly,8 hours,36-50,TrueMed Industries,95.9%,"Mild rash, Dizziness",₹626.76
Vitamin D Deficiency,Supplementation,Cholecalciferol,100 mg,As needed (SOS),10 hours,36-50,TrueMed Industries,95.6%,"Headache, Constipation, Loss of appetite",₹159.50
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,650 mg,Thrice daily - After meals,24 hours,19-35,Silver Cross Pharma,95.3%,"Diarrhea, Fatigue",₹125.19
Allergy,Antihistamine Therapy,Levocetirizine,500 mg,Twice daily - Morning & Night,18 hours,36-50,MedLife Labs,97.2%,"Fatigue, Constipation, Stomach upset",₹457.94
Osteoporosis,Supplementation,Alendronate,750 mg,After meals,4 hours,0-12,Nova Health,98.2%,"Dry mouth, Diarrhea",₹523.87
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,750 mg,As needed (SOS),4 hours,0-12,MedLife Labs,96.3%,"Insomnia, Loss of appetite, Blurred vision",₹496.80
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,100 mg,As needed (SOS),24 hours,65+,PurePath Pharma,98.4%,Mild rash,₹848.07
High Cholesterol,Statin Therapy,Rosuvastatin,150 mg,Once daily - Night,4 hours,65+,Greenfield Biotech,96.7%,"Fatigue, Blurred vision",₹182.18
High Cholesterol,Statin Therapy,Rosuvastatin,5 mg,Every 6 hours,24 hours,19-35,MedLife Labs,96.5%,"Drowsiness, Nausea, Mild rash",₹553.59
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,250 mg,Twice daily - Morning & Night,6 hours,19-35,Horizon Meds,97.1%,"Headache, Blurred vision",₹349.05
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,500 mg,As needed (SOS),18 hours,0-12,Silver Cross Pharma,98.0%,Fatigue,₹506.64
Depression,Antidepressant Therapy,Escitalopram,25 mg,Thrice daily - After meals,10 hours,65+,MedLife Labs,97.8%,"Dry mouth, Mild rash, Blurred vision",₹173.94
Migraine,Analgesic Therapy,Paracetamol,1000 mg,Every 6 hours,12 hours,51-65,Wellspring Rx,98.0%,"Drowsiness, Mild rash, Blurred vision",₹719.93
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,650 mg,Before meals,4 hours,65+,Greenfield Biotech,96.5%,Dizziness,₹106.47
Anxiety Disorder,Anxiolytic Therapy,Buspirone,150 mg,As needed (SOS),6 hours,51-65,Wellspring Rx,97.1%,"Diarrhea, Loss of appetite",₹591.87
Vitamin D Deficiency,Supplementation,Cholecalciferol,200 mg,Before meals,6 hours,13-18,TrueMed Industries,99.1%,"Nausea, Mild rash, None reported",₹416.04
Asthma,Steroid Inhalation,Montelukast,250 mg,Every 6 hours,18 hours,65+,Cygnus Life Sciences,97.0%,"Fatigue, Dry mouth",₹77.61
Common Cold,Antihistamine Therapy,Paracetamol,2.5 mg,Before meals,8 hours,51-65,Vitacore Pharmaceuticals,95.8%,"Constipation, Insomnia",₹658.49
High Cholesterol,Statin Therapy,Simvastatin,5 mg,Before meals,12 hours,51-65,Sunrise Pharma,98.7%,"Loss of appetite, Headache",₹841.39
Migraine,Triptan Therapy,Rizatriptan,1000 mg,Once daily - Morning,24 hours,19-35,TrueMed Industries,99.2%,Fatigue,₹736.57
Migraine,Triptan Therapy,Sumatriptan,750 mg,Once weekly,12 hours,65+,PurePath Pharma,98.1%,Constipation,₹125.24
Asthma,Bronchodilator Therapy,Salbutamol,300 mg,After meals,10 hours,51-65,Horizon Meds,95.8%,"Dizziness, None reported, Constipation",₹233.10
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,750 mg,As needed (SOS),2 hours,19-35,Zenith Biocare,95.6%,Headache,₹131.14
Arthritis,NSAID Therapy,Naproxen,150 mg,Every 6 hours,6 hours,51-65,Zenith Biocare,96.3%,"Stomach upset, Fatigue",₹71.58
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,250 mg,Before meals,12 hours,36-50,Cygnus Life Sciences,96.6%,None reported,₹659.82
Chronic Pain,Analgesic Therapy,Paracetamol,200 mg,After meals,4 hours,51-65,Wellspring Rx,96.1%,"None reported, Headache",₹424.55
Arthritis,NSAID Therapy,Ibuprofen,250 mg,Once weekly,6 hours,51-65,Cygnus Life Sciences,98.9%,"Blurred vision, Nausea, None reported",₹91.84
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,1000 mg,Twice daily - Morning & Night,24 hours,36-50,Sunrise Pharma,99.9%,"Headache, Insomnia",₹773.72
Vitamin D Deficiency,Supplementation,Cholecalciferol,1000 mg,Before meals,4 hours,65+,TrueMed Industries,96.2%,"Diarrhea, None reported",₹147.37
Depression,Antidepressant Therapy,Escitalopram,650 mg,Thrice daily - After meals,18 hours,65+,MedLife Labs,98.4%,Headache,₹409.47
Hypertension,Diuretic Therapy,Losartan,250 mg,Every 6 hours,2 hours,0-12,Silver Cross Pharma,96.7%,None reported,₹363.59
Hypertension,Beta Blocker Therapy,Amlodipine,25 mg,As needed (SOS),4 hours,65+,MedLife Labs,95.5%,"Dizziness, Dry mouth",₹330.25
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,5 mg,Every 8 hours,2 hours,51-65,Zenith Biocare,95.8%,"Insomnia, Headache",₹536.84
Hypertension,Beta Blocker Therapy,Hydrochlorothiazide,1000 mg,Thrice daily - After meals,4 hours,0-12,Greenfield Biotech,98.7%,"Insomnia, Stomach upset, Mild rash",₹819.06
Arthritis,NSAID Therapy,Diclofenac,50 mg,Once daily - Night,8 hours,51-65,PurePath Pharma,97.9%,"Dizziness, Blurred vision, Insomnia",₹30.59
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,250 mg,Once weekly,8 hours,65+,Wellspring Rx,96.4%,Blurred vision,₹764.04
Bacterial Infection,Antibiotic Therapy,Doxycycline,5 mg,Thrice daily - After meals,24 hours,65+,PurePath Pharma,95.3%,Mild rash,₹794.36
Hypertension,Beta Blocker Therapy,Hydrochlorothiazide,100 mg,Every 8 hours,6 hours,36-50,MedLife Labs,95.1%,Nausea,₹228.76
Fever,Antipyretic Therapy,Ibuprofen,250 mg,Before meals,18 hours,36-50,Silver Cross Pharma,97.0%,"Loss of appetite, None reported, Constipation",₹136.56
Headache,Analgesic Therapy,Paracetamol,250 mg,Thrice daily - After meals,6 hours,51-65,TrueMed Industries,96.9%,"Blurred vision, Diarrhea, None reported",₹549.54
Allergy,Antihistamine Therapy,Loratadine,1000 mg,Thrice daily - After meals,2 hours,13-18,MedLife Labs,99.5%,Fatigue,₹523.55
Fever,Antipyretic Therapy,Aspirin,650 mg,Twice daily - Morning & Night,4 hours,0-12,Silver Cross Pharma,95.7%,Dry mouth,₹425.98
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,100 mg,Twice daily - Morning & Night,10 hours,65+,MedLife Labs,98.8%,Mild rash,₹687.58
Acidity / GERD,Antacid Therapy,Pantoprazole,650 mg,Once weekly,4 hours,36-50,Cygnus Life Sciences,97.5%,Fatigue,₹731.58
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,50 mg,Once daily - Night,4 hours,13-18,Silver Cross Pharma,97.5%,None reported,₹734.59
Bacterial Infection,Antibiotic Therapy,Doxycycline,100 mg,As needed (SOS),6 hours,13-18,Sunrise Pharma,97.7%,"Insomnia, Diarrhea, Stomach upset",₹197.04
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,50 mg,Once daily - Night,12 hours,0-12,Horizon Meds,98.3%,Dry mouth,₹195.92
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,5 mg,Every 6 hours,10 hours,19-35,TrueMed Industries,95.4%,"Nausea, Mild rash",₹176.97
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,300 mg,Thrice daily - After meals,24 hours,19-35,PurePath Pharma,99.8%,Insomnia,₹766.17
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,2.5 mg,As needed (SOS),2 hours,13-18,Horizon Meds,96.7%,"Nausea, Mild rash, None reported",₹647.02
Depression,Antidepressant Therapy,Sertraline,25 mg,Every 8 hours,8 hours,36-50,Cygnus Life Sciences,99.7%,Insomnia,₹243.61
Fever,Antipyretic Therapy,Aspirin,150 mg,After meals,24 hours,65+,MedLife Labs,97.8%,"Dry mouth, Diarrhea, Stomach upset",₹71.01
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,500 mg,Twice daily - Morning & Night,8 hours,19-35,Vitacore Pharmaceuticals,99.2%,"Insomnia, None reported",₹282.70
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,5 mg,Thrice daily - After meals,6 hours,51-65,MedLife Labs,95.8%,Fatigue,₹400.42
Insomnia,Sedative Therapy,Doxylamine,100 mg,Thrice daily - After meals,24 hours,19-35,Cygnus Life Sciences,96.3%,Drowsiness,₹140.71
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,25 mg,After meals,6 hours,0-12,Silver Cross Pharma,96.2%,"Stomach upset, Loss of appetite",₹49.22
Allergy,Antihistamine Therapy,Cetrizine,2.5 mg,As needed (SOS),24 hours,51-65,Silver Cross Pharma,97.7%,Fatigue,₹93.81
Hypertension,ACE Inhibitor Therapy,Amlodipine,2.5 mg,Thrice daily - After meals,6 hours,13-18,Wellspring Rx,96.8%,"Diarrhea, Drowsiness, Constipation",₹501.51
Headache,Analgesic Therapy,Paracetamol,25 mg,Every 6 hours,6 hours,0-12,TrueMed Industries,95.6%,"Nausea, Dry mouth",₹786.12
Insomnia,Sedative Therapy,Melatonin,2.5 mg,As needed (SOS),18 hours,13-18,TrueMed Industries,96.1%,Dizziness,₹243.64
Hypertension,ACE Inhibitor Therapy,Losartan,500 mg,Before meals,24 hours,36-50,Horizon Meds,97.3%,Dizziness,₹330.50
Insomnia,Sedative Therapy,Doxylamine,750 mg,Every 8 hours,8 hours,65+,Horizon Meds,98.9%,"Blurred vision, Insomnia",₹310.37
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,300 mg,Every 8 hours,12 hours,36-50,Vitacore Pharmaceuticals,95.9%,"Constipation, Headache",₹32.67
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,750 mg,Every 6 hours,12 hours,51-65,Nova Health,99.8%,Headache,₹561.08
Acidity / GERD,Antacid Therapy,Omeprazole,300 mg,As needed (SOS),12 hours,13-18,Greenfield Biotech,96.2%,"Blurred vision, Insomnia",₹595.40
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,650 mg,After meals,6 hours,51-65,Nova Health,99.1%,"Loss of appetite, Dizziness",₹155.82
Fever,Antipyretic Therapy,Paracetamol,25 mg,Once weekly,8 hours,0-12,Horizon Meds,97.3%,"Constipation, Headache",₹687.03
Arthritis,NSAID Therapy,Ibuprofen,2.5 mg,Once daily - Morning,6 hours,51-65,Silver Cross Pharma,99.5%,None reported,₹451.14
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,650 mg,As needed (SOS),4 hours,19-35,Vitacore Pharmaceuticals,96.6%,Insomnia,₹806.80
Vitamin D Deficiency,Supplementation,Cholecalciferol,10 mg,Every 8 hours,12 hours,13-18,Zenith Biocare,97.9%,Stomach upset,₹266.35
Osteoporosis,Supplementation,Alendronate,10 mg,Once daily - Morning,18 hours,51-65,Sunrise Pharma,95.9%,"Blurred vision, Constipation",₹193.99
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,10 mg,After meals,4 hours,13-18,TrueMed Industries,99.8%,Diarrhea,₹753.44
Headache,Analgesic Therapy,Ibuprofen,2.5 mg,Before meals,8 hours,13-18,Silver Cross Pharma,95.3%,"Blurred vision, Drowsiness",₹614.59
Fever,Antipyretic Therapy,Ibuprofen,650 mg,As needed (SOS),6 hours,36-50,Cygnus Life Sciences,99.3%,"Loss of appetite, Stomach upset",₹93.40
High Cholesterol,Statin Therapy,Atorvastatin,200 mg,Once daily - Night,2 hours,19-35,Sunrise Pharma,96.6%,Drowsiness,₹295.80
Depression,Antidepressant Therapy,Escitalopram,5 mg,Every 8 hours,4 hours,19-35,PurePath Pharma,99.8%,"Insomnia, Nausea",₹371.17
Vitamin D Deficiency,Supplementation,Cholecalciferol,10 mg,Once daily - Morning,4 hours,19-35,Nova Health,99.8%,"Insomnia, Loss of appetite",₹615.96
Chronic Pain,Analgesic Therapy,Paracetamol,50 mg,Before meals,8 hours,0-12,Sunrise Pharma,96.9%,"None reported, Fatigue, Dry mouth",₹53.89
Common Cold,Symptomatic Relief,Cetrizine,50 mg,Once weekly,24 hours,13-18,MedLife Labs,95.1%,Diarrhea,₹253.71
Headache,Analgesic Therapy,Paracetamol,50 mg,As needed (SOS),24 hours,36-50,Zenith Biocare,96.3%,"Loss of appetite, Stomach upset, Dry mouth",₹320.40
Depression,Antidepressant Therapy,Sertraline,200 mg,Once daily - Morning,10 hours,36-50,Cygnus Life Sciences,96.3%,"Constipation, Nausea",₹135.25
Osteoporosis,Bisphosphonate Therapy,Alendronate,500 mg,After meals,18 hours,51-65,Nova Health,97.7%,"None reported, Loss of appetite",₹360.49
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,25 mg,Every 6 hours,10 hours,0-12,Wellspring Rx,99.4%,"Nausea, Loss of appetite, Constipation",₹766.18
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,750 mg,Every 6 hours,6 hours,13-18,Nova Health,99.0%,Nausea,₹364.48
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,1000 mg,Twice daily - Morning & Night,10 hours,19-35,Silver Cross Pharma,99.5%,Drowsiness,₹334.78
Depression,Antidepressant Therapy,Fluoxetine,250 mg,Every 6 hours,2 hours,65+,PurePath Pharma,97.9%,"Drowsiness, Stomach upset",₹134.00
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,300 mg,Once daily - Night,10 hours,51-65,TrueMed Industries,99.3%,"Stomach upset, Diarrhea",₹416.86
Cough & Cold,Antitussive Therapy,Dextromethorphan,10 mg,Before meals,18 hours,13-18,PurePath Pharma,98.0%,"Stomach upset, Nausea, None reported",₹757.02
Arthritis,NSAID Therapy,Diclofenac,650 mg,Every 6 hours,10 hours,19-35,Sunrise Pharma,96.7%,"Dizziness, None reported",₹717.68
Osteoporosis,Bisphosphonate Therapy,Alendronate,10 mg,Before meals,24 hours,19-35,Vitacore Pharmaceuticals,98.6%,"Diarrhea, Drowsiness, Headache",₹379.93
Insomnia,Sedative Therapy,Doxylamine,1000 mg,After meals,2 hours,51-65,Greenfield Biotech,95.3%,"Loss of appetite, Stomach upset, Dry mouth",₹665.19
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,25 mg,Thrice daily - After meals,2 hours,13-18,Sunrise Pharma,97.2%,"Insomnia, Headache",₹238.69
